date,merchant,amount,currency,category,account,recurring
2024-12-01T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2024-12-02T09:14:00,Starbucks,-2.79,USD,coffee,main_debit,False
2024-12-02T11:56:00,Puzata Hata,-60.58,USD,restaurants,main_debit,False
2024-12-02T16:05:00,Uber,-5.1,USD,transport,main_debit,False
2024-12-02T17:51:00,Glovo,-17.22,USD,delivery,main_debit,False
2024-12-03T07:55:00,Aroma Kava,-4.19,USD,coffee,main_debit,False
2024-12-03T07:58:00,Starbucks,-2.51,USD,coffee,main_debit,False
2024-12-03T14:22:00,Booking.com,-890,USD,travel,credit_card,False
2024-12-03T17:04:00,Uber,-7.77,USD,transport,main_debit,False
2024-12-03T19:31:00,Puzata Hata,-58.51,USD,restaurants,main_debit,False
2024-12-04T12:27:00,ATB,-17.61,USD,groceries,main_debit,False
2024-12-05T03:15:00,AliExpress,-234.5,USD,shopping,credit_card,False
2024-12-05T08:08:00,Lviv Croissants,-2.96,USD,coffee,main_debit,False
2024-12-05T13:48:00,ATB,-29.69,USD,groceries,main_debit,False
2024-12-05T18:16:00,Spotify,-16.01,USD,subscriptions,main_debit,True
2024-12-05T18:30:00,Murakami,-21.18,USD,restaurants,main_debit,False
2024-12-06T08:22:00,Lviv Croissants,-4.62,USD,coffee,main_debit,False
2024-12-06T08:24:00,Starbucks,-3.61,USD,coffee,main_debit,False
2024-12-06T21:55:00,Bolt Food,-14.01,USD,delivery,main_debit,False
2024-12-07T08:56:00,Blue Bottle,-5.48,USD,coffee,main_debit,False
2024-12-07T17:47:00,Bolt,-9.75,USD,transport,main_debit,False
2024-12-07T22:26:00,Bolt Food,-23.85,USD,delivery,main_debit,False
2024-12-08T22:11:00,Bolt Food,-17.68,USD,delivery,main_debit,False
2024-12-08T22:14:00,Glovo,-28.04,USD,delivery,main_debit,False
2024-12-08T23:14:00,Uber Eats,-22.61,USD,delivery,main_debit,False
2024-12-09T09:56:00,H&M,-52.25,USD,shopping,credit_card,False
2024-12-11T11:43:00,Doctor Visit,-13.66,USD,health,main_debit,False
2024-12-13T07:22:00,Starbucks,-2.29,USD,coffee,main_debit,False
2024-12-13T08:29:00,Starbucks,-4.04,USD,coffee,main_debit,False
2024-12-13T09:56:00,Uber,-7.99,USD,transport,main_debit,False
2024-12-13T17:29:00,Novus,-48.21,USD,groceries,main_debit,False
2024-12-14T09:04:00,ChatGPT Plus,-15.3,USD,subscriptions,main_debit,True
2024-12-14T17:33:00,Uklon,-11.8,USD,transport,main_debit,False
2024-12-15T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2024-12-15T19:56:00,Novus,-25.54,USD,groceries,main_debit,False
2024-12-15T20:59:00,Cinema City,-13.59,USD,entertainment,credit_card,False
2024-12-15T23:06:00,Glovo,-28.8,USD,delivery,main_debit,False
2024-12-16T10:12:00,Uklon,-3.26,USD,transport,main_debit,False
2024-12-16T14:46:00,Uber Eats,-18.45,USD,delivery,main_debit,False
2024-12-17T12:08:00,Netflix,-18.48,USD,entertainment,main_debit,False
2024-12-17T20:11:00,Silpo,-36.3,USD,groceries,main_debit,False
2024-12-18T20:59:00,Silpo,-18.14,USD,groceries,main_debit,False
2024-12-18T21:00:00,Silpo,-32.5,USD,groceries,main_debit,False
